Response Id,You regularly make new friends.,You spend a lot of your free time exploring various random topics that pique your interest,Seeing other people cry can easily make you feel like you want to cry too,You often make a backup plan for a backup plan.,"You usually stay calm, even under a lot of pressure","At social events, you rarely try to introduce yourself to new people and mostly talk to the ones you already know",You prefer to completely finish one project before starting another.,You are very sentimental.,You like to use organizing tools like schedules and lists.,Even a small mistake can cause you to doubt your overall abilities and knowledge.,You feel comfortable just walking up to someone you find interesting and striking up a conversation.,You are not too interested in discussing various interpretations and analyses of creative works.,You are more inclined to follow your head than your heart.,You usually prefer just doing what you feel like at any given moment instead of planning a particular daily routine.,You rarely worry about whether you make a good impression on people you meet.,Personality,image
72,0,0,3,0,0,1,-1,0,3,0,0,-1,0,2,0,14,39325022
73,0,0,0,-2,-1,-1,-2,0,3,0,-2,-1,1,-2,-2,2,59324385
74,0,0,2,-1,-3,2,-2,1,0,0,-3,0,1,-1,-2,5,60375133
75,0,0,3,1,0,0,-1,0,1,0,-1,-2,-1,0,2,8,10460888
76,0,0,-2,-3,-1,-3,-2,0,2,0,1,-2,-2,-1,-2,0,19323929
77,0,0,-2,2,1,1,-1,0,-1,0,0,-1,-2,2,-3,10,99329140
78,0,0,0,0,-1,1,1,0,-3,0,1,2,3,1,0,7,49246468
79,0,0,-2,3,-2,-2,0,0,-2,0,-1,0,0,0,-3,6,9325047
80,0,0,0,-3,3,2,2,-1,0,0,0,-1,0,-1,2,12,40400478
81,0,0,1,1,1,-1,-2,-1,-2,0,2,0,-1,1,2,1,50422494
82,0,0,-1,-2,-2,1,0,0,-2,0,0,1,-1,1,-1,15,19303498
83,0,0,-1,-2,-2,3,0,0,-2,0,1,2,1,-2,-2,10,49025589
84,0,0,2,0,1,0,0,0,1,0,3,1,1,2,0,6,29385672
85,0,0,2,-2,0,2,0,0,-2,0,-3,1,-1,-2,0,10,99329140
86,0,0,-1,1,-2,0,1,0,-2,1,0,-2,-1,1,1,3,99127608
87,0,0,0,3,-1,0,-1,0,1,0,0,3,2,-2,0,13,19385677
88,0,0,0,0,0,-2,0,0,2,0,-1,1,-2,2,-1,15,80437234
89,0,0,0,1,1,-2,0,0,-3,0,1,1,1,2,-1,1,70439573
90,-1,0,-1,-2,1,2,1,0,0,0,1,1,2,-1,-2,10,49025589
91,0,0,1,2,2,-3,-1,0,-2,0,2,-3,1,0,0,1,39329299
92,0,0,-1,2,0,-3,-1,0,1,0,0,1,-1,1,1,3,89158214
93,0,0,-1,-1,0,1,-1,1,1,0,-2,2,2,-2,1,10,99329140
94,0,0,-1,2,-2,-2,-1,0,2,0,-1,0,-2,-1,2,0,19127297
95,0,0,0,1,-2,-1,1,0,0,0,-2,-1,1,-3,-1,9,59336270
96,0,0,3,2,-1,1,2,0,0,-1,2,-1,-3,-1,1,4,9324689
97,1,0,-3,-1,0,2,2,0,-1,0,-3,2,1,0,-1,2,439468
98,0,0,-1,-1,-2,1,0,0,0,0,-1,2,-3,1,0,15,59328897
99,1,0,-2,1,3,-1,-1,0,-1,0,1,-1,-1,-2,-3,0,29324711
100,0,0,-1,0,0,2,1,0,0,0,-3,1,2,0,1,2,59324385
101,0,0,0,0,-2,-2,-2,0,0,0,1,-1,-2,2,1,12,79287612
102,0,0,0,-2,-1,1,0,0,0,0,0,1,3,-1,0,10,49025589
103,0,0,-2,1,0,0,-1,0,0,0,1,-2,-1,0,-3,0,19323929
104,0,0,0,1,1,-1,-1,0,2,1,0,-1,-2,0,-1,14,40407922
105,-1,1,3,-1,-2,3,-2,0,2,0,-1,1,0,-3,1,13,69128567
106,0,0,1,1,1,1,-1,0,0,0,0,-1,-1,0,2,8,39304128
107,0,0,-2,0,-2,2,-1,0,1,0,2,1,-2,0,0,13,49324946
108,0,0,2,-2,2,3,-2,0,1,0,1,2,-1,-1,1,8,59326469
109,0,0,-1,-1,-2,-1,-1,0,0,0,0,0,-3,0,3,13,19385677
110,0,1,-2,-1,-1,-1,2,0,-1,0,-1,-1,0,-2,0,10,99329140
111,1,0,0,0,1,-2,-3,0,1,0,2,2,2,0,-1,6,39127710
112,0,0,1,2,1,-1,0,0,0,0,2,2,-3,0,0,11,50453758
113,0,1,-1,2,-3,-2,0,0,-1,0,-3,0,1,0,-2,6,9325047
114,0,0,-1,1,-2,-1,-1,0,0,0,-1,0,1,0,2,3,80331973
115,0,0,0,1,0,-1,1,0,2,0,-2,3,1,2,-1,6,29385672
116,-1,0,-2,-1,1,3,0,0,1,1,-2,1,-2,0,2,11,20305707
117,0,0,-3,-1,-1,1,-1,0,0,1,-2,-2,-1,-1,0,0,19127297
118,0,0,1,-1,1,-1,-1,0,-3,0,1,1,-2,2,-3,11,29320732
119,-1,0,3,2,-3,2,0,0,3,0,-3,-2,-1,0,-1,4,441758
120,0,0,-2,3,-2,-3,-2,0,-1,0,-2,1,-1,-1,1,3,99127608
121,0,0,-2,-3,-1,-1,1,0,-1,0,2,0,-1,0,-3,15,19303498
122,0,0,0,1,2,-2,-1,0,1,0,3,2,0,2,-3,6,39127710
123,0,0,0,2,-1,-2,-2,0,-2,0,-1,-1,2,1,-1,3,89158214
124,0,0,1,-1,-2,-1,0,0,-2,0,3,0,-2,2,-1,12,29324320
125,0,0,0,1,-2,-1,0,0,1,0,-1,-2,0,-2,1,9,10269696
126,0,0,-1,0,-2,1,1,0,0,0,0,0,-1,3,-1,15,80437234
127,0,0,0,1,-2,1,-3,0,1,1,-1,0,1,2,2,13,69128567
128,0,0,-1,0,-1,0,-2,0,-1,0,-2,-1,0,-2,-1,10,49025589
129,0,0,0,1,1,0,-2,0,1,0,0,-2,-2,2,-2,0,29324711
130,0,0,-3,1,-1,0,-2,0,-2,0,-1,0,-1,-1,0,10,99329140
131,-1,0,0,-2,0,-2,-1,0,0,0,-1,-2,3,1,0,1,50422494
132,0,-1,2,1,0,-2,-2,-1,0,0,1,1,0,1,-2,11,50453758
133,0,0,0,-1,0,-1,-3,0,0,0,1,-2,0,1,0,14,30439476
134,0,0,1,2,2,-1,-2,0,1,0,2,1,1,2,-1,6,9325047
135,0,0,3,-2,0,1,1,0,-1,0,3,1,1,1,1,15,59328897
136,1,0,-1,-2,1,1,-2,0,-2,0,1,0,-2,-1,0,9,9300103
137,0,0,-2,-3,0,0,0,1,0,0,-2,1,-3,0,0,9,59336270
138,1,-1,0,-1,-2,0,1,0,1,0,1,2,1,2,1,7,298128
139,0,0,-1,-1,-1,-1,-3,0,2,0,0,1,1,-1,2,3,89158214
140,0,0,-1,-1,-1,1,1,0,0,0,2,0,0,1,2,4,69127493
141,0,0,-1,-2,1,1,0,0,1,0,-3,-2,0,-3,-1,5,89227873
142,0,0,-1,1,-2,-1,-3,0,-3,0,0,1,1,-2,3,9,10269696
143,0,0,0,2,-1,0,-1,0,1,1,0,-1,0,1,2,3,80331973
144,0,0,0,-1,-1,0,1,0,-1,0,0,1,-1,3,-2,15,19303498
145,0,0,-1,-1,0,2,-1,0,-1,0,0,-2,1,2,-1,5,60375133
146,0,0,3,-1,-2,3,0,0,2,1,-2,2,-1,-1,-2,4,9324689
147,0,0,0,0,2,0,1,0,0,0,0,1,0,2,-2,14,39325022
148,0,0,2,-3,0,0,-1,1,1,0,2,-1,-1,-3,1,14,40407922
149,0,0,0,-1,2,0,0,0,1,0,2,-1,-2,0,2,14,30439476
150,0,0,1,2,2,-2,-2,0,-1,0,-1,-2,0,0,2,7,59324248
151,0,0,0,2,1,-3,-1,0,-3,0,2,-2,1,0,2,1,70439573
152,0,0,-1,-1,3,3,-2,0,-2,1,-1,-1,0,-1,-3,5,89227873
153,0,0,0,1,-1,0,-2,0,1,0,-2,-1,1,2,3,7,49246468
154,0,0,1,1,1,-1,0,1,0,-1,-1,-1,1,0,-1,3,99127608
155,0,0,1,3,1,0,-2,1,-3,0,-1,-2,0,0,0,7,298128
156,0,0,2,-2,-2,-1,-1,0,0,0,-1,0,1,-1,3,12,40400478
157,0,0,-3,0,0,0,1,0,2,0,-1,-1,0,-3,0,2,439468
158,1,0,-1,0,2,2,-1,0,-1,0,-1,-1,0,0,1,5,60375133
159,0,0,-1,2,0,0,-2,0,1,0,-1,1,0,1,3,3,89158214
160,0,0,1,0,0,-3,-2,0,-2,0,1,3,-2,0,3,9,9300103
161,0,0,2,-1,-1,2,-1,0,2,0,-3,0,0,-1,2,13,49324946
162,0,0,-1,-1,1,-1,-2,0,0,0,3,0,-1,-1,0,14,39325022
163,0,-1,0,-1,0,3,3,0,-2,0,0,-1,-1,2,1,15,80437234
164,0,1,-1,-2,0,2,-2,0,1,0,-1,0,0,0,2,13,19385677
165,1,0,-1,0,0,-3,1,-1,0,0,2,0,2,-1,1,8,10460888
166,0,0,0,0,0,-3,-2,1,0,0,1,0,-1,1,0,11,20305707
167,1,0,-2,0,0,-2,-3,1,-1,-1,-1,0,0,0,-2,3,80331973
168,-1,0,-1,2,0,0,-2,0,0,0,-1,0,-1,1,-2,2,59324385
169,0,0,-1,-1,0,-2,-1,-1,-1,-1,-2,1,0,2,0,3,99127608
170,0,0,2,2,1,-3,-1,0,-1,1,0,0,-2,-2,-1,11,29320732
171,0,0,-2,-2,2,2,-1,0,2,0,-1,-2,2,1,0,2,439468
172,0,0,1,1,0,-2,-1,-1,2,0,1,3,-1,2,-3,6,29385672
173,0,0,3,1,-2,-1,-2,0,1,0,1,0,0,0,2,0,19323929
174,1,-1,-2,-1,2,0,-1,0,-1,0,0,0,-1,-1,1,11,50453758
175,0,0,-1,-3,1,1,2,0,0,-1,2,0,-1,2,0,15,80437234
176,0,0,0,1,-2,-2,-1,0,0,0,0,1,1,0,3,3,89158214
177,0,0,-2,-1,1,-2,-1,0,-2,0,0,-2,0,0,0,14,40407922
178,0,0,-1,1,-1,-1,0,0,1,0,-2,2,-2,-2,1,10,49025589
179,0,0,0,-1,0,2,-1,0,0,0,-3,1,0,0,0,3,80331973
180,0,0,-2,-1,-2,3,-1,0,1,0,-1,3,-1,1,1,13,69128567
181,0,0,0,-1,2,2,-2,0,1,0,1,0,0,-1,0,2,59324385
182,0,0,0,-2,0,3,-3,0,2,0,0,1,0,-1,-1,4,441758
183,1,0,2,-1,1,-1,0,0,0,0,2,0,-1,2,-2,11,20305707
184,1,0,-1,-3,-2,-2,1,0,2,-1,-2,1,-1,0,-1,0,19323929
185,0,0,0,-2,1,2,-2,0,1,0,2,-1,1,-1,0,8,39304128
186,0,0,0,3,2,-1,-3,0,-1,0,-2,1,-3,2,1,11,29320732
187,0,1,-1,-1,1,2,-3,0,-3,0,-2,0,3,-3,-3,5,89227873
188,0,0,-2,0,-1,-3,2,0,0,0,0,-3,0,1,0,14,30439476
189,0,0,1,0,-2,1,2,0,-1,0,2,1,-1,2,-2,4,69127493
190,0,0,0,0,-1,1,0,0,-1,0,-1,3,0,1,-2,10,99329140
191,0,0,-1,-2,-1,-1,1,0,-1,-1,1,-2,1,-1,-1,1,39329299
192,0,0,0,-1,-2,-2,-1,1,3,0,-1,-1,-2,0,-2,0,19127297
193,0,0,0,0,2,-1,-2,0,1,0,3,1,0,0,2,11,50453758
194,0,0,0,1,-2,-2,-1,0,1,0,-1,3,-2,1,1,15,59328897
195,0,0,-1,3,-1,0,0,0,2,0,-2,1,-1,2,-1,15,19303498
196,0,0,0,0,-1,-2,-2,0,-1,0,-1,0,1,0,-1,6,29385672
197,0,0,-3,-2,1,0,2,0,-2,0,0,1,0,1,-3,2,439468
198,-1,0,0,-3,0,0,-2,0,1,0,0,-2,2,-1,-1,1,50422494
199,0,0,3,-2,2,1,-2,0,3,0,-1,0,-3,-2,0,8,59326469
200,0,0,-2,1,3,3,-1,0,2,0,-3,1,-1,-3,2,11,50453758
201,0,0,0,-1,0,0,-2,0,-1,0,-2,1,-1,-2,-2,10,49025589
202,0,0,-2,-1,0,1,-2,0,1,0,-1,2,-1,-2,2,11,20305707
203,0,0,0,-2,2,-2,0,0,-2,0,2,-2,-1,2,-2,14,39325022
204,0,0,3,2,-2,-1,1,0,3,0,-1,-2,-1,-2,-3,2,59324385
205,0,0,2,2,-1,0,-1,0,0,0,-1,-1,-2,1,1,7,59324248
206,0,0,0,-2,-2,1,-2,0,-2,0,-2,1,-2,-3,2,9,59336270
207,0,1,2,-2,-3,2,-1,0,1,0,-2,2,0,-1,-3,5,60375133
208,0,0,3,-2,0,1,-1,0,2,0,0,1,0,0,1,4,9324689
209,0,0,0,-2,1,-1,2,0,-1,0,0,-1,-2,1,-3,14,40407922
210,0,0,0,2,0,-2,1,0,1,0,-2,-1,0,1,0,3,99127608
211,0,0,0,-3,-1,-1,0,0,-1,0,1,-2,0,2,1,12,79287612
212,0,0,-1,-1,-1,1,1,0,-2,0,2,-2,1,1,-1,14,40407922
213,0,0,3,0,1,-1,-2,0,1,0,1,0,0,-1,2,8,10460888
214,0,0,-2,0,-1,-1,2,0,-2,0,0,-2,2,3,1,14,30439476
215,0,-1,3,0,-3,1,1,1,-1,0,2,2,0,2,3,7,49246468
216,0,0,1,-2,-1,-1,1,0,1,0,1,-3,0,0,0,8,39304128
217,0,0,0,0,0,-1,-2,0,3,0,0,0,-2,-2,1,0,29324711
218,0,0,-1,0,1,-2,0,-1,2,0,-1,2,-1,1,1,15,80437234
219,1,0,-2,2,-2,-2,-2,0,-2,0,-2,-1,2,0,-2,3,89158214
220,0,-1,-2,2,-1,-1,-1,1,-3,0,-2,-1,3,1,-1,3,80331973
221,0,0,-2,0,-1,1,-2,-1,2,0,-1,2,-1,0,0,13,49324946
222,0,-1,-2,-2,-1,0,2,0,2,0,0,-1,2,-1,1,8,59326469
223,1,0,0,0,0,-2,-1,0,0,0,-2,-1,2,2,-2,3,99127608
224,0,0,0,1,1,0,1,1,-2,0,1,2,1,0,1,7,49246468
225,0,0,1,-2,-1,2,1,0,-2,0,1,2,-2,1,1,15,59328897
226,0,0,-1,1,-1,-1,1,0,3,-1,-2,-2,-2,2,-3,9,10269696
227,0,0,-2,-3,2,0,-1,0,0,0,0,2,-3,-2,1,10,99329140
228,0,0,-1,-1,-2,2,-1,0,0,0,-1,2,1,-1,1,4,441758
229,0,-1,1,-1,-2,0,-2,1,0,0,-1,1,2,3,-3,6,39127710
230,0,0,3,-1,0,0,0,1,-2,0,0,-2,-1,-3,1,14,39325022
231,0,0,0,2,0,-1,-2,0,3,0,1,0,-1,-2,2,0,19323929
232,0,-1,-1,0,-1,1,-2,0,2,0,0,0,0,-1,0,2,439468
233,0,0,1,-1,-3,0,0,1,3,0,-2,-2,2,0,-2,5,89227873
234,0,0,0,0,0,-1,-1,0,-2,0,3,1,0,-2,1,15,19303498
235,0,0,-3,1,0,-2,1,0,2,-1,-2,1,-2,2,1,3,89158214
236,1,0,2,1,-1,0,1,0,1,0,1,1,1,2,3,4,441758
237,-1,0,1,0,1,2,0,0,3,0,1,1,-1,1,2,4,69127493
238,0,1,1,0,-2,1,-1,0,-1,0,-2,1,-2,0,0,13,69128567
239,0,0,-2,-1,1,0,-1,0,3,0,2,0,2,-1,0,2,439468
240,1,0,1,-2,-2,0,1,0,-1,0,2,1,1,0,-2,15,80437234
241,0,0,-1,-3,-1,-2,-2,0,0,0,-2,-2,-1,0,-1,0,19127297
242,-1,1,0,-3,-1,1,1,0,0,0,1,1,-1,2,-2,15,59328897
243,0,0,3,-3,0,1,-1,0,1,0,-1,-1,2,-1,-2,5,60375133
244,0,0,0,0,-3,-1,3,0,1,0,3,-1,1,-2,0,8,10460888
245,0,0,0,-2,0,-1,-2,0,1,0,0,-3,-2,-1,0,0,29324711
246,0,0,-2,-1,-2,-2,-2,0,3,0,-2,0,2,-1,-1,1,70439573
247,0,0,2,-2,-1,0,-2,0,-1,0,-1,0,-2,3,3,12,40400478
248,0,0,1,1,0,1,2,1,1,0,1,-1,-2,-1,-1,4,9324689
249,0,0,2,-2,0,2,0,0,2,0,-2,1,0,-2,0,4,441758
250,0,0,0,-1,-2,-2,0,0,2,0,1,0,1,3,2,12,79287612
251,0,0,-2,1,-1,0,0,0,3,0,-1,-3,-1,3,1,0,19323929
252,0,0,2,0,1,-1,-2,0,-1,0,2,-1,0,0,3,0,19127297
253,0,0,0,-3,1,1,1,0,1,0,-1,-1,0,-2,1,12,29324320
254,0,-1,2,-1,2,-1,0,0,1,0,0,1,0,3,-2,6,9325047
255,0,0,1,-2,-1,-1,1,0,2,0,-2,2,0,1,-1,9,9300103
256,0,0,1,0,-1,-2,-1,0,1,0,-2,-3,3,-1,0,9,59336270
257,0,0,-1,0,0,1,-1,0,-1,0,1,0,1,0,2,9,59336270
258,0,0,1,-2,1,2,-1,0,-2,0,-1,0,2,-1,0,10,49025589
259,0,0,-2,-1,0,-1,-2,0,-1,0,0,1,0,-3,-3,10,99329140
260,-1,0,-2,-1,1,2,2,0,1,1,0,0,3,0,1,2,59324385
261,0,-1,0,-1,-1,-2,-1,0,2,0,-3,-1,-2,-2,-2,0,29324711
262,0,0,1,2,1,-1,2,1,0,0,1,0,1,2,2,7,298128
263,0,0,0,-1,2,-3,-1,0,1,0,0,0,0,-1,1,1,39329299
264,0,0,3,0,-1,0,1,0,-2,0,2,1,1,3,2,7,59324248
265,0,0,2,2,-1,-1,-3,0,1,0,3,0,-1,0,2,0,19323929
266,1,0,2,-1,0,-3,-1,0,0,0,1,2,-1,0,-3,11,29320732
267,0,0,2,2,-1,-2,2,0,0,0,0,0,-1,0,0,0,19127297
268,-1,0,2,2,-1,3,3,0,0,0,1,1,0,0,3,7,49246468
269,0,0,1,0,-2,-1,0,0,0,0,1,-1,1,-1,1,8,10460888
270,0,0,2,-1,3,0,0,0,0,0,-1,-1,-1,-1,0,12,40400478
271,0,0,1,-3,0,-1,1,0,2,0,1,-2,0,0,2,8,39304128
272,0,0,2,0,0,-3,-2,0,0,0,2,2,-3,2,-2,11,50453758
273,0,1,-2,-2,1,-1,0,0,-1,0,-1,-2,2,-2,-2,2,439468
274,0,0,0,0,-3,-2,-2,0,1,0,-2,-2,1,-1,-3,1,50422494
275,0,0,1,-1,0,2,-1,0,1,0,0,0,-1,-1,0,14,40407922
276,1,0,-1,-2,-2,-1,1,0,2,0,-1,-2,-1,0,-1,0,29324711
277,0,0,1,0,-3,-1,-1,0,0,0,-2,1,2,3,2,3,89158214
278,0,0,0,-1,-2,0,0,0,2,0,1,1,2,1,0,8,59326469
279,0,0,-1,0,-1,1,-1,0,-1,0,-1,-1,3,-2,0,5,89227873
280,0,0,0,0,0,1,1,-1,-2,0,-1,-1,2,2,-2,7,298128
281,0,0,-1,-2,-2,2,0,0,-1,0,-3,1,2,-3,0,5,60375133
282,0,0,0,-2,1,0,2,0,-1,-1,0,0,-1,-1,-2,2,59324385
283,0,0,3,3,-1,0,-2,0,0,0,-1,-3,-2,-1,1,7,59324248
284,0,0,-1,0,2,0,-3,0,2,0,-2,-2,1,2,-3,2,439468
285,0,0,-1,0,-2,-1,-2,0,0,0,-3,2,2,1,0,3,80331973
286,0,0,2,-1,1,-1,2,0,-1,0,0,-1,2,1,2,8,10460888
287,0,0,-1,0,-2,3,-3,-1,1,0,0,-1,0,0,-2,4,69127493
288,0,0,1,1,0,-1,-1,0,0,0,1,0,-2,-2,1,14,30439476
289,0,0,-2,1,0,2,-1,0,0,0,-2,2,-1,-1,-3,10,49025589
290,0,0,1,-1,1,0,-1,-1,-1,0,-2,-1,3,-1,3,13,49324946
291,0,-1,-1,3,-2,-2,-2,0,0,0,-2,-1,3,2,1,6,29385672
292,0,1,0,1,-3,-1,-1,0,0,0,1,-2,1,1,2,0,19323929
293,0,0,0,-2,-1,1,2,0,-1,0,-1,2,1,0,-2,10,99329140
294,0,0,-1,1,0,1,0,0,-1,0,-1,1,-1,-2,-2,10,49025589
295,0,-1,1,1,1,0,0,0,0,0,0,0,-1,2,1,1,70439573
296,0,0,-1,0,-1,-2,-2,0,0,0,-3,-1,-1,-1,0,0,19323929
297,0,0,2,0,0,-1,2,0,0,0,1,-2,-1,0,1,9,10269696
298,0,0,-1,-2,-3,-2,-1,0,0,0,-1,-2,1,-1,-3,0,19127297
299,0,0,0,-2,-1,1,-1,0,0,0,-1,0,0,-2,1,4,9324689
300,0,0,0,-1,2,3,-3,0,-1,0,-2,-3,2,-2,-3,5,89227873
301,0,0,2,0,2,-1,-3,0,0,0,0,-1,1,0,0,5,60375133
302,0,0,2,-2,-2,0,1,0,0,0,-2,-1,0,0,0,13,19385677
303,0,0,0,2,0,1,-1,0,2,0,-1,-2,2,-1,-1,15,19303498
304,0,0,2,0,-1,0,0,0,2,0,-2,0,0,-1,0,4,441758
305,0,0,2,2,-1,-1,2,0,3,0,-1,-1,1,-2,-2,9,9300103
306,0,0,-1,0,-2,-3,-1,0,-3,0,0,-2,3,1,-1,3,99127608
307,0,0,-3,-1,0,1,-1,0,-2,0,-1,-1,2,0,0,2,59324385
308,0,0,-1,1,1,-2,-3,0,0,0,0,0,-2,2,0,11,20305707
309,0,0,-2,1,-1,0,-1,0,-2,0,-1,-2,2,2,-2,3,89158214
310,0,0,1,0,1,2,1,0,-2,0,0,2,2,1,0,7,49246468
